Player,Squad,Age,Min,Gls,Ast,G+A,Sh,G+A_per_90,Shot_conversion_rate
Jakub Żewłakow,Legia Warsaw,18.0,2700,0.0,0.0,0.0,6,0.0,0.0
Andi Zeqiri,Widzew Łódź,26.0,7620,1.0,2.0,3.0,25,0.35,4.0
Kamil Zapolnik,Nieciecza,32.0,1769,6.0,0.0,6.0,39,0.3,15.38
Kahveh Zahiroleslam,Cracovia,23.0,6220,3.0,0.0,3.0,17,0.43,17.65
Marcel Wędrychowski,Katowice,23.0,7540,2.0,1.0,3.0,20,0.36,10.0
Theodoros Tsirigotis,Górnik Zabrze,25.0,2710,0.0,1.0,1.0,12,0.33,0.0
Andrzej Trubeha,Nieciecza,27.0,7830,2.0,0.0,2.0,19,0.23,10.53
Levente Szabo,Zagłębie Lubin,26.0,8520,3.0,1.0,4.0,22,0.42,13.64
Youssuf Sylla,Jagiellonia,22.0,1070,1.0,0.0,1.0,3,0.83,33.33
Filip Stojilković,Cracovia,25.0,1516,7.0,2.0,9.0,46,0.54,15.22
Mariusz Stępiński,Korona Kielce,30.0,1223,4.0,0.0,4.0,43,0.29,9.3
Salifou Soumah,Radomiak Radom,21.0,2910,1.0,0.0,1.0,12,0.31,8.33
Szymon Sobczak,Arka Gdynia,32.0,1490,0.0,0.0,0.0,3,0.0,0.0
Ilya Shkurin,Legia Warsaw,25.0,820,0.0,0.0,0.0,2,0.0,0.0
Ilya Shkurin,Katowice,25.0,1264,5.0,2.0,7.0,37,0.5,13.51
Łukasz Sekulski,Wisła Płock,34.0,1966,8.0,1.0,9.0,45,0.41,17.78
Iván Salvador,Wisła Płock,29.0,7080,2.0,0.0,2.0,12,0.25,16.67
Borislav Rupanov,Górnik Zabrze,20.0,1740,0.0,0.0,0.0,4,0.0,0.0
Maciej Rosołek,Katowice,23.0,3330,0.0,0.0,0.0,9,0.0,0.0
Imad Rondić,Raków,26.0,3770,0.0,0.0,0.0,4,0.0,0.0
Leonardo Rocha,Zagłębie Lubin,28.0,7940,7.0,1.0,8.0,31,0.91,22.58
