Date,Result,GF,GA,Opponent,Venue,Start,Min,Ishak_started,Points,Ishak_status
2025-07-18,L,1,4,Cracovia,Home,Y*,84.0,True,0,With Ishak
2025-07-26,W,4,3,Lechia Gdańsk,Away,Y*,85.0,True,3,With Ishak
2025-08-02,W,2,1,Górnik Zabrze,Home,Y*,82.0,True,3,With Ishak
2025-08-16,D,1,1,Korona Kielce,Home,Y*,90.0,True,1,With Ishak
2025-08-31,W,2,1,Widzew Łódź,Home,,0.0,False,3,Without Ishak
2025-09-12,L,1,2,Zagłębie Lubin,Home,Y,63.0,True,0,With Ishak
2025-09-20,W,2,0,Nieciecza,Away,Y*,73.0,True,3,With Ishak
2025-09-24,D,2,2,Raków,Away,Y,63.0,True,1,With Ishak
2025-09-28,D,2,2,Jagiellonia,Home,Y,90.0,True,1,With Ishak
2025-10-05,W,1,0,Katowice,Away,Y*,90.0,True,3,With Ishak
2025-10-19,D,2,2,Pogoń Szczecin,Home,Y*,90.0,True,1,With Ishak
2025-10-26,D,0,0,Legia Warsaw,Away,Y*,87.0,True,1,With Ishak
2025-11-02,D,2,2,Motor Lublin,Home,Y*,90.0,True,1,With Ishak
2025-11-09,L,1,3,Arka Gdynia,Away,,0.0,False,0,Without Ishak
2025-11-23,W,4,1,Radomiak Radom,Home,Y,67.0,True,3,With Ishak
2025-11-30,D,0,0,Wisła Płock,Away,N,30.0,False,1,Without Ishak
2025-12-07,D,2,2,Cracovia,Away,Y*,62.0,True,1,With Ishak
2026-01-31,L,1,3,Lechia Gdańsk,Home,Y*,90.0,True,0,With Ishak
2026-02-03,L,0,1,Piast Gliwice,Away,Y*,90.0,True,0,With Ishak
2026-02-07,W,1,0,Górnik Zabrze,Away,Y*,81.0,True,3,With Ishak
2026-02-15,W,3,0,Piast Gliwice,Home,,0.0,False,3,Without Ishak
2026-02-22,W,2,1,Korona Kielce,Away,Y,90.0,True,3,With Ishak
2026-03-01,W,4,3,Raków,Home,Y*,78.0,True,3,With Ishak
2026-03-07,L,1,2,Widzew Łódź,Away,N,33.0,False,0,Without Ishak
2026-03-15,W,1,0,Zagłębie Lubin,Away,Y*,72.0,True,3,With Ishak
2026-03-22,W,4,1,Nieciecza,Home,Y*,84.0,True,3,With Ishak
2026-04-04,D,0,0,Jagiellonia,Away,Y*,83.0,True,1,With Ishak
2026-04-12,D,3,3,Katowice,Home,Y*,67.0,True,1,With Ishak
2026-04-18,W,2,1,Pogoń Szczecin,Away,Y*,70.0,True,3,With Ishak
2026-04-26,W,4,0,Legia Warsaw,Home,Y,90.0,True,3,With Ishak
2026-05-02,W,1,0,Motor Lublin,Away,Y*,90.0,True,3,With Ishak
2026-05-08,D,1,1,Arka Gdynia,Home,Y*,90.0,True,1,With Ishak
2026-05-16,W,3,1,Radomiak Radom,Away,Y*,83.0,True,3,With Ishak
2026-05-23,D,2,2,Wisła Płock,Home,Y*,82.0,True,1,With Ishak
